ANKET ﾹ;SLEEP GROUP 5;SLEEP GROUP normal 5-10;SLEEP GROUP normal 6-9;SLEEP GROUP normal 7-8;SLEEP HOURS;DREAMS often;DREAMS yes/no;DREAMS;PHASE  yes/no;PHASE often;PHASE oftenN;PHASE;LD often;LD yes/no;LD;FALSE often;FALSE yes/no;FALSE ;PARALISYS often;PARALISYS yes/no;PARALISYS;OBE often;OBE yes/no;OBE;KNOW;AGE GROUP 10;AGE GROUP 5;AGE;SEX
272;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;yes;11-20;10-15;13;w
273;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;no;no;no;yes;21-30;21-25;25;w
274;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;once;no;yes;once;no;no;no;no;no;no;no;no;no;no;n/a;n/a;n/a;m
275;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;yes;41-50;41-45;41;m
276;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;yes;21-30;21-25;24;w
277;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;31-40;31-35;31;w
278;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;often;yes;often;no;no;no;no;no;no;yes;21-30;26-30;29;w
279;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;17;m
280;7-8;7;6-9;7-8;7;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;27;w
281;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;yes;31-40;31-35;31;m
282;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;n/a;41-50;41-45;42;m
283;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;31-40;31-35;32;w
284;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;21-30;26-30;27;w
285;7-8;7;6-9;7-8;7;often;yes;often;yes;n/a;n/a;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;n/a;n/a;n/a;yes;11-20;16-20;16;w
286;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;21-30;21-25;24;w
287;5-6;6;6-9;<7;6;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;>60;61-70;65;m
288;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;once;no;no;no;no;no;no;no;yes;once;yes;>60;61-70;68;w
289;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;often;yes;often;n/a;n/a;n/a;no;yes;once;no;no;no;yes;21-30;21-25;23;w
290;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;once;no;no;no;no;no;no;yes;21-30;21-25;24;m
291;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;once;no;no;no;no;yes;once;no;no;no;no;no;no;no;21-30;21-25;22;m
292;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;once;no;no;no;yes;21-30;21-25;21;m
293;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;31-40;31-35;31;w
294;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;21-30;21-25;21;w
295;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;>60;61-70;63;w
296;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;no;21-30;21-25;23;w
297;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;no;21-30;21-25;23;w
298;9-10;9;6-9;>8;9;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;yes;11-20;16-20;20;w
299;<5;<5;<6;<7;4;no;no;no;yes;often;often3;often;often;yes;often;no;no;no;often;yes;often;often;yes;often;yes;11-20;16-20;20;w
300;5-6;5;<6;<7;5;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;11-20;10-15;14;w
301;<5;<5;<6;<7;3;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;yes;11-20;10-15;15;w
302;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often2;often;no;yes;sometimes;no;no;no;often;yes;often;often;yes;often;yes;21-30;21-25;22;m
303;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;no;no;no;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;yes;21-30;21-25;23;w
304;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;no;21-30;21-25;24;w
305;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;yes;21-30;26-30;30;w
306;9-10;9;6-9;>8;9;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;31-40;31-35;33;w
307;9-10;10;>9;>8;10;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;11-20;10-15;11;w
308;5-6;5;<6;<7;5;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;no;no;no;yes;11-20;16-20;18;w
309;5-6;5;<6;<7;5;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;yes;11-20;10-15;15;w
310;5-6;5;<6;<7;5;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;11-20;16-20;18;w
311;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;yes;11-20;16-20;16;w
312;5-6;6;6-9;<7;6;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;11-20;10-15;15;w
313;5-6;6;6-9;<7;6;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;11-20;16-20;16;w
314;9-10;10;>9;>8;10;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;11-20;16-20;20;w
315;7-8;8;6-9;7-8;8;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;41-50;46-50;46;m
316;<5;<5;<6;<7;4;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;31-40;31-35;32;m
317;7-8;7;6-9;7-8;7;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;31-40;31-35;32;w
318;9-10;10;>9;>8;10;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;yes;11-20;16-20;19;m
319;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;yes;11-20;16-20;19;w
320;5-6;5;<6;<7;5;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;yes;once;no;no;no;yes;21-30;26-30;30;m
321;5-6;5;<6;<7;5;no;yes;sometimes;yes;often;often3;often;often;yes;often;often;yes;often;often;yes;often;no;yes;sometimes;yes;21-30;21-25;21;w
322;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;no;21-30;26-30;28;m
323;7-8;8;6-9;7-8;8;no;no;no;yes;often;often;often;no;no;no;no;no;no;no;yes;once;often;yes;often;no;11-20;16-20;19;w
324;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;yes;sometimes;no;21-30;21-25;24;m
325;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;often;yes;often;no;yes;sometimes;no;yes;sometimes;yes;21-30;26-30;27;w
326;<5;<5;<6;<7;2;no;yes;sometimes;yes;often;often2;often;often;yes;often;no;no;no;no;no;no;often;yes;often;no;11-20;10-15;14;w
327;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;no;11-20;16-20;16;w
328;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;51-60;51-55;52;w
329;5-6;6;6-9;<7;6;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;20;m
330;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;51-60;56-60;59;w
331;<5;<5;<6;<7;4;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;41-50;41-45;44;w
332;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;yes;31-40;36-40;37;w
333;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;yes;sometimes;yes;11-20;16-20;19;m
334;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;yes;>60;61-70;70;m
335;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;21-30;26-30;27;m
336;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;11-20;16-20;18;w
337;7-8;8;6-9;7-8;8;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;21-30;26-30;28;m
338;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;21-30;26-30;28;w
339;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;yes;sometimes;no;21-30;21-25;24;w
340;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;51-60;56-60;57;w
341;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;41-50;41-45;44;m
342;7-8;8;6-9;7-8;8;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;31-40;31-35;31;m
343;5-6;6;6-9;<7;6;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;51-60;51-55;52;w
344;9-10;9;6-9;>8;9;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;31-40;31-35;32;w
345;>10;>10;>9;>8;13;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;11-20;10-15;13;w
346;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;yes;sometimes;no;no;no;n/a;51-60;51-55;52;w
347;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;yes;sometimes;yes;41-50;41-45;45;m
348;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;yes;sometimes;no;31-40;31-35;33;m
349;>10;>10;>9;>8;14;no;yes;sometimes;yes;often;often;often;often;yes;often;no;no;no;no;yes;sometimes;no;no;no;yes;11-20;16-20;18;w
350;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;31-40;31-35;31;w
351;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;41-50;41-45;42;m
352;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often2;often;no;no;no;often;yes;often;often;yes;often;no;no;no;yes;11-20;16-20;19;w
353;5-6;5;<6;<7;5;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;11-20;16-20;19;w
354;<5;<5;<6;<7;4;often;yes;often;yes;often;often2;often;often;yes;often;no;no;no;no;no;no;often;yes;often;yes;31-40;36-40;38;w
355;7-8;7;6-9;7-8;7;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;21-30;21-25;23;m
356;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;yes;41-50;46-50;46;w
357;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;no;11-20;16-20;20;w
358;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;no;yes;sometimes;often;yes;often;no;yes;sometimes;no;yes;sometimes;yes;11-20;16-20;20;m
359;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often2;often;often;yes;often;often;yes;often;no;no;no;no;no;no;no;51-60;56-60;57;w
360;9-10;10;>9;>8;10;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;yes;sometimes;often;yes;often;yes;31-40;36-40;40;w
361;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;no;no;yes;31-40;31-35;31;m
362;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;yes;21-30;21-25;25;w
363;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;26;w
364;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often2;often;often;yes;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;yes;41-50;41-45;43;m
365;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;once;no;yes;sometimes;no;no;no;no;no;no;no;21-30;26-30;27;m
366;>10;>10;>9;>8;12;no;yes;sometimes;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;18;w
367;5-6;5;<6;<7;5;often;yes;often;yes;often;often2;often;often;yes;often;no;yes;sometimes;often;yes;often;no;no;no;yes;31-40;36-40;36;w
368;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;often;often;often;often;yes;often;no;no;no;no;yes;sometimes;no;no;no;no;11-20;10-15;14;m
369;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;41-50;41-45;44;w
370;7-8;7;6-9;7-8;7;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;41-50;46-50;50;w
371;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;yes;once;no;no;no;no;11-20;16-20;19;m
372;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;yes;51-60;51-55;55;m
373;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;no;11-20;16-20;16;n/a
374;7-8;8;6-9;7-8;8;often;yes;often;yes;n/a;n/a;sometimes;no;yes;sometimes;no;yes;once;n/a;yes;yes;no;no;no;yes;31-40;36-40;36;m
375;7-8;8;6-9;7-8;8;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;29;m
376;7-8;8;6-9;7-8;8;no;no;no;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;no;no;yes;31-40;31-35;31;m
377;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;41-50;46-50;47;m
378;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;yes;once;yes;41-50;41-45;44;w
379;5-6;5;<6;<7;5;often;yes;often;yes;no;no;once;no;no;no;no;no;no;no;yes;once;no;no;no;no;21-30;26-30;28;m
380;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;51-60;56-60;57;m
381;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;no;no;no;21-30;26-30;26;m
382;5-6;5;<6;<7;5;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;once;no;21-30;26-30;28;m
383;5-6;6;6-9;<7;6;no;yes;sometimes;yes;n/a;n/a;sometimes;no;yes;sometimes;no;no;no;no;no;no;n/a;n/a;n/a;yes;>60;71-90;83;w
384;7-8;7;6-9;7-8;7;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;41-50;46-50;50;m
385;9-10;10;>9;>8;10;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;31-40;31-35;33;m
386;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;>60;71-90;72;w
387;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;no;21-30;26-30;26;m
388;9-10;9;6-9;>8;9;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;n/a;>60;61-70;64;w
389;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;no;no;n/a;51-60;56-60;59;m
390;7-8;8;6-9;7-8;8;often;yes;often;yes;n/a;n/a;sometimes;no;yes;sometimes;no;no;no;no;no;no;n/a;n/a;n/a;yes;31-40;36-40;36;m
391;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;yes;once;no;no;no;yes;41-50;41-45;43;m
392;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;yes;once;no;no;no;yes;21-30;21-25;24;w
393;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;yes;once;no;yes;once;yes;41-50;46-50;47;m
394;5-6;6;6-9;<7;6;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;51-60;56-60;60;w
395;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;yes;once;yes;>60;71-90;80;w
396;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;once;no;yes;once;no;21-30;26-30;26;m
397;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;once;no;yes;once;no;no;no;no;no;no;yes;21-30;21-25;23;m
398;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;once;no;yes;once;no;no;no;no;no;no;yes;11-20;16-20;16;m
399;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;11-20;16-20;16;w
400;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;yes;once;no;yes;once;no;no;no;yes;21-30;21-25;23;m
401;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;once;no;no;no;no;no;no;no;11-20;16-20;16;m
402;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;once;no;yes;once;no;no;no;no;no;no;yes;11-20;16-20;16;w
403;7-8;7;6-9;7-8;7;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;11-20;16-20;17;m
404;7-8;8;6-9;7-8;8;no;no;no;yes;no;no;once;no;yes;once;no;no;no;no;no;no;no;no;no;no;21-30;26-30;26;m
405;7-8;8;6-9;7-8;8;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;21-30;21-25;24;w
406;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;no;21-30;26-30;30;m
407;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;21-30;26-30;27;w
408;5-6;6;6-9;<7;6;often;yes;often;yes;often;often2;often;often;yes;often;no;yes;sometimes;no;no;no;often;yes;often;yes;51-60;51-55;53;w
409;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;no;yes;once;often;yes;often;no;no;no;no;yes;once;yes;21-30;21-25;23;m
410;5-6;5;<6;<7;5;often;yes;often;yes;no;no;sometimes;no;yes;once;no;no;no;no;no;no;no;yes;sometimes;yes;21-30;26-30;28;m
411;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;yes;sometimes;yes;21-30;26-30;30;w
412;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;yes;21-30;21-25;25;m
413;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;once;no;no;no;yes;31-40;31-35;33;n/a
414;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;once;no;no;no;no;yes;sometimes;yes;31-40;31-35;31;m
415;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;30;m
416;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;often;yes;often;yes;21-30;21-25;22;n/a
417;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;once;no;31-40;31-35;34;m
418;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;no;21-30;21-25;23;w
419;7-8;8;6-9;7-8;8;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;28;m
420;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;yes;once;yes;21-30;21-25;21;m
421;<5;<5;<6;<7;1;no;no;no;yes;no;no;once;no;no;no;no;no;no;no;no;no;no;yes;once;yes;31-40;31-35;35;m
422;5-6;5;<6;<7;5;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;11-20;16-20;19;w
423;<5;<5;<6;<7;4;no;yes;sometimes;yes;often;often2;often;often;yes;often;often;yes;often;no;yes;once;no;yes;sometimes;yes;11-20;16-20;19;w
424;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;21-30;21-25;22;m
425;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;once;no;no;no;often;yes;often;yes;21-30;21-25;21;w
426;9-10;10;>9;>8;10;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;often;yes;often;yes;21-30;26-30;26;m
427;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;yes;once;no;yes;sometimes;yes;11-20;16-20;16;w
428;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often3;often;no;yes;sometimes;often;yes;often;often;yes;often;often;yes;often;yes;41-50;41-45;43;m
429;5-6;5;<6;<7;5;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;often;yes;often;yes;21-30;21-25;22;w
430;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;yes;31-40;31-35;35;m
431;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;11-20;16-20;17;m
432;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;once;no;yes;sometimes;yes;11-20;10-15;14;w
433;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;no;41-50;46-50;48;w
434;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;no;yes;once;often;yes;often;no;no;no;no;no;no;yes;21-30;26-30;30;m
435;5-6;6;6-9;<7;6;no;no;no;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;26;m
436;5-6;5;<6;<7;5;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;no;no;no;yes;21-30;26-30;28;m
437;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;11-20;16-20;17;m
438;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;yes;21-30;26-30;28;m
439;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;yes;21-30;26-30;28;m
440;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;once;no;no;no;no;no;no;no;no;no;no;yes;once;yes;21-30;26-30;26;m
441;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;often;yes;often;no;no;no;n/a;n/a;n/a;no;yes;sometimes;no;51-60;51-55;52;m
442;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;n/a;21-30;21-25;21;w
443;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often2;often;often;yes;often;no;no;no;often;yes;often;no;no;no;yes;21-30;21-25;22;w
