ANKET ﾹ,SLEEP HOURS ,DREAMS,PHASE,LD,FALSE ,PARALISYS,OBE,KNOW,AGE,SEX
432,8,sometimes,often,often,sometimes,once,sometimes,yes,14,w
345,13,sometimes,no,no,no,no,no,no,13,w
834,9,sometimes,sometimes,no,once,no,sometimes,no,13,w
272,5,often,often,often,no,no,no,yes,13,w
833,8,sometimes,sometimes,sometimes,sometimes,no,no,yes,13,w
235,4,sometimes,often,often,often,no,often,yes,13,w
236,7,often,often,sometimes,sometimes,no,often,yes,13,w
553,8,sometimes,often,no,once,no,often,yes,12,w
307,10,often,often,sometimes,sometimes,no,sometimes,yes,11,w
704,8,often,often,often,often,no,often,yes,10,w
